,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
190,11676027,614410,52111,2,31/01/2021,04:01,31/01/2021,17:43,4.291,1.02,"The Crescent, Lothian Crescent,  Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,8062160A7E3504,Nissan LEAF
191,11676008,628777,51547,2,31/01/2021,03:58,31/01/2021,04:22,12.399,2.23,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F6172247304,Nissan LEAF
192,11675979,624468,52399,1,31/01/2021,03:53,31/01/2021,16:22,33.64,5.42,"Orleans Place, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.06E+14,Nissan LEAF
193,11675904,614734,51426,2,31/01/2021,03:40,,,,,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA26B4404,Nissan LEAF
194,11675765,603548,50692,2,31/01/2021,03:17,31/01/2021,03:59,6.49,1.35,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger,,,804F0BC2394C04,Nissan LEAF
195,11675742,625584,50910,1,31/01/2021,03:13,31/01/2021,21:16,22.161,3.7,"Dock Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,8.0617E+13,
196,11675730,621969,51424,2,31/01/2021,03:11,31/01/2021,03:35,10.738,1.99,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169924A6B04,Nissan LEAF
197,11675620,618928,51585,2,31/01/2021,02:52,31/01/2021,03:05,4.155,1.0,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612907004,Nissan LEAF
198,11675619,618311,51547,2,31/01/2021,02:52,31/01/2021,03:34,24.466,4.04,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612464004,Nissan LEAF
199,11675505,610536,51421,2,31/01/2021,02:33,31/01/2021,02:44,8.101,1.59,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805E8182786304,Multiple vehicles available
